message,results,ratio,elements,numberLeft,numberRight,joinIteratorString,execution time,heapTotal diff,heapTotal total,arrayBuffers dif,arrayBuffers total,rss diff,rss total,heap diff,head total
TwoHashIndexedCount: 200000 & 0.5,84475119,0.5,100,200000,200000,TwoHashIndexedCount,208.31566812499986,17.5,89.39453125,0,0.017816543579101562,205.3671875,1011.41015625,17.708084106445312,67.78157043457031
TwoHashIndexedCount: 200000 & 0.75,216700225,0.75,100,200000,200000,TwoHashIndexedCount,288.68300798900054,11.3671875,94.8671875,0,0.017816543579101562,122.921875,956.890625,12.989654541015625,62.64270782470703
TwoHash: 200000 & 0.75,216740720,0.75,100,200000,200000,TwoHash,307.6000100539997,10.5,93.75,0,0.017816543579101562,176.6953125,990.83984375,22.053604125976562,71.60742950439453
TwoHash: 200000 & 0.9,323601938,0.9,100,200000,200000,TwoHash,332.814106567001,5.73828125,93.69921875,0,0.017816543579101562,123.38671875,979.453125,5.7389984130859375,61.340110778808594
TwoHashIndexed: 200000 & 0.75,217004006,0.75,100,200000,200000,TwoHashIndexed,357.288291162001,28.1171875,107.27734375,0,0.017816543579101562,199.1015625,1012.1875,26.135398864746094,84.77970886230469
TwoHashIndexedCount: 200000 & 0.9,323591181,0.9,100,200000,200000,TwoHashIndexedCount,331.08186544900013,16.8671875,98.94140625,0,0.017816543579101562,192.93359375,1058.33203125,4.0832672119140625,67.19609069824219
TwoHashIndexed: 200000 & 0.9,323762489,0.9,100,200000,200000,TwoHashIndexed,451.74561730000005,22.90234375,110.86328125,0,0.017816543579101562,197.42578125,1063.69921875,34.550628662109375,90.04434204101562
TwoHash: 500000 & 0.25,65735677,0.25,100,500000,500000,TwoHash,1780.4254368210006,2.59375,116.40234375,0,0.017816543579101562,333.44140625,1320.07421875,-18.688034057617188,69.3564224243164
TwoHashIndexed: 500000 & 0.25,66183230,0.25,100,500000,500000,TwoHashIndexed,1816.586683573,7.890625,121.44921875,0,0.017816543579101562,375.3359375,1382.99609375,7.367835998535156,95.33290100097656
TwoHashIndexedCount: 500000 & 0.25,64240827,0.25,100,500000,500000,TwoHashIndexedCount,1814.6499651229997,2.87890625,116.91015625,0,0.017816543579101562,400.953125,1439.3984375,-28.577919006347656,66.2530288696289
TwoHash: 500000 & 0.5,435120307,0.5,100,500000,500000,TwoHash,2156.1892864570004,11.5,138.61328125,0,0.017816543579101562,621.1328125,1529.51171875,-16.507156372070312,90.84169006347656
TwoHashIndexedCount: 500000 & 0.5,434753301,0.5,100,500000,500000,TwoHashIndexedCount,2110.776891036,12.0390625,139.40234375,0,0.017816543579101562,448.6640625,1392.84375,0.36225128173828125,93.45867919921875
TwoHashIndexed: 500000 & 0.5,435895715,0.5,100,500000,500000,TwoHashIndexed,2261.887029418999,23.671875,151.03515625,0,0.017816543579101562,227.8046875,1259.1484375,20.08837890625,128.20948791503906
TwoHash: 500000 & 0.75,1317461317,0.75,100,500000,500000,TwoHash,2328.241904488001,10.75,158.81640625,0,0.017816543579101562,67.31640625,1124.44921875,14.742889404296875,133.35379791259766
TwoHashIndexedCount: 500000 & 0.75,1317371252,0.75,100,500000,500000,TwoHashIndexedCount,2243.502023976,-4.1328125,143.93359375,0,0.017816543579101562,-133.921875,968.390625,12.960769653320312,128.157470703125
TwoHashIndexed: 500000 & 0.75,1318189704,0.75,100,500000,500000,TwoHashIndexed,2653.0725871709997,32.8671875,180.93359375,0,0.017816543579101562,-275.921875,831.7578125,27.510910034179688,146.3768310546875
TwoHash: 500000 & 0.9,2017663484,0.9,100,500000,500000,TwoHash,1350.0160093399993,9.25,168.31640625,0,0.017816543579101562,-706.40625,656.46484375,6.564613342285156,136.83368682861328
TwoHashIndexedCount: 500000 & 0.9,2017651517,0.9,100,500000,500000,TwoHashIndexedCount,1309.2356192680002,11.3671875,170.18359375,0,0.017816543579101562,-994.9609375,487.17578125,8.037246704101562,142.7283706665039
TwoHashIndexed: 500000 & 0.9,2018025407,0.9,100,500000,500000,TwoHashIndexed,1703.126884060001,39.3671875,198.18359375,0,0.017816543579101562,-1097.125,325.2734375,41.009429931640625,175.0191192626953
